Product,Quantity,Price
Ovaltine Malted Chocolate Drink Jar,400 gm,৳ 395
Tang Mango Powder (Buy 1 Get 1),500 gm,৳ 315
Chocolate Horlicks Jar,500 gm,৳ 350
Horlicks Standard Jar,1000 gm,৳ 645
Horlicks Standard Jar,250 gm,৳ 190
Tang Orange Box (Buy 2 Get 1 Free),125 gm,৳ 200
Nestle MILO Activ-Go (Chocolate Flavored) Powder Drink Tin,400 gm,৳ 430
Nestle MILO Activ-Go (Chocolate Flavored) Powder Drink Pouch,250 gm,৳ 270
Junior Horlicks Jar,500 gm,৳ 390
Maltova (BIB) Refill,400 gm,৳ 330
Ovaltine Power 10 Chocolate Drink Jar,400 gm,৳ 459
Tang Orange,500 gm,৳ 315
Junior Horlicks BIB,500 gm,৳ 370
Ovaltine Malted Milk Drink Jar,400 gm,৳ 325
Tang Jar Orange,750 gm,৳ 550
Tang Orange Box,250 gm,৳ 170
Vitamalt Chocolate Drink Jar,600 gm,৳ 450
Dabur Glucose-D (100 gm Free),400 gm,৳ 145
Hershey's Caramel Syrup,623 gm,৳ 409
Horlicks Lite Jar,330 gm,৳ 380
Tang Mango Drink,500 gm,৳ 315
Fisty Instant (Orange) Powder Drink,250 gm,৳ 100
Garden Fresh Powder Drink (Orange),700 gm,৳ 380
Nutri-C Mango Drink,250 gm,৳ 170
Nutri-C Orange Drink,250 gm,৳ 170
Kool Aid Strawberry Powder Drink,538 gm,৳ 637
Kool Aid Orange Powder Drink,538 gm,৳ 637
Rasna Mango Reffil 400 gm (Jug Free),,৳ 290
Rasna Mango Jar,750 gm,৳ 530
Rasna Orange Reffil 400 gm (Jug Free)	,,৳ 290
Rasna Orange Jar,750 gm,৳ 530
Hashi Khushi Mango Soft Drink Powder (6 gm x 12 ),each,৳ 60
Garden Fresh Soft Drink Powder Mango (Mega Container Free),700 gm,৳ 380
Garden Fresh Soft Drink Powder Mango (Free Jug),450 gm,৳ 250
Kool C Mango,250 gm,৳ 100
Kool C Orange,250 gm,৳ 100
Kool C Mango (Glass Free Offer),1000 gm,৳ 470
Kool C Orange (Glass Free Offer),1000 gm,৳ 470
Kool C Mango (Glass Free Offer),750 gm,৳ 390
Kool C Orange (Glass Free Offer),750 gm,৳ 390
Fisty Instant Powder Drink (Orange),500 gm,৳ 190
Tang Orange Powder,500 gm,৳ 315
Tang Mango Powder,500 gm,৳ 400
Tang Lemon Powder,500 gm,৳ 400
Tang Pineapple Powder,500 gm,৳ 400
SMC Taste Me Lychee Box,200 gm,৳ 70
SMC Taste Me Orange Box,200 gm,৳ 70
SMC Taste Me Mango Box,200 gm,৳ 70
Dekko Fruit Drop Mango Powder Drinks,250 gm,৳ 100
Foster Clark's Choco Drink Tin,500 gm,৳ 475
