Product,Quantity,Price
Complan Chocolate,350 gm,৳ 385
Purnava Omega 3 Enriched Egg,12 pcs,৳ 220
Purnava Vitamin E Egg,12 pcs,৳ 160
Horlicks Standard Jar,500 gm,৳ 350
Ovaltine Malted Chocolate Drink Jar,400 gm,৳ 395
Chocolate Horlicks Jar,500 gm,৳ 350
Horlicks Standard Jar,1000 gm,৳ 645
Horlicks Standard Jar,250 gm,৳ 190
Nestle MILO Activ-Go (Chocolate Flavored) Powder Drink Tin,400 gm,৳ 430
PediaSure Complete Classic Vanilla,900 gm,"৳ 2,000"
Nestle MILO Activ-Go (Chocolate Flavored) Powder Drink Pouch,250 gm,৳ 270
Junior Horlicks Jar,500 gm,৳ 390
PediaSure Vanilla Delight,400 gm,৳ 759
Junior Horlicks BIB,500 gm,৳ 370
Ovaltine Malted Milk Drink Jar,400 gm,৳ 325
Vitamalt Chocolate Drink Jar,600 gm,৳ 450
Nestle Nestum Whole Grain Ceral Milk Drink,504 gm,৳ 850
PediaSure Complete Classic Vanilla,400 gm,"৳ 1,125"
Boost Chocolate Jar,400 gm,৳ 345
Horlicks Growth Plus Jar,400 gm,৳ 840
Horlicks Lite Jar,330 gm,৳ 380
Complan Creamy Classic Plain Bib,350 gm,৳ 360
Complan Chocolate Jar,500 gm,৳ 540
Complan Chocolate Jar,200 gm,৳ 250
Mother's Horlicks Bib,350 gm,৳ 490
