Product,Quantity,Price,Category
White Bread,500 gm,৳ 75,Breakfast
Golden Harvest Frozen Paratha Family Pack,20 pcs,৳ 250,Breakfast
PRAN Puffed Rice (Muri),500 gm,৳ 60,Breakfast
Cocola Chocolate Wafer Roll Jar,280 gm,৳ 60,Breakfast
Special Brown Bread,300 gm,৳ 105,Breakfast
PRAN Flattened Rice (chira),500 gm,৳ 60,Breakfast
PRAN Puffed Rice (Muri),250 gm,৳ 35,Breakfast
Golden Harvest Mega Deshi Paratha 1600 gm,20 pcs,৳ 300,Breakfast
Golden Harvest Aloo Paratha,250 gm,৳ 70,Breakfast
Agrobiz Puffed Rice (Hand Made Muri),200 gm,৳ 35,Breakfast
Anmol Puffed Rice,400 gm,৳ 45,Breakfast
Ispahani Bakery Fresh Dry Cake,350 gm,৳ 120,Breakfast
Flattened Rice,500 gm,৳ 55,Breakfast
Ruchi Puffed Rice (Muri),250 gm,৳ 32,Breakfast
Kellogg's Special K Original Breakfast Cereal,290gm,৳ 290,Breakfast
Dan Cake Swiss Roll Chocolate,200 gm,৳ 130,Breakfast
BPM White Flattened Rice,500 gm,৳ 58,Breakfast
Khaas Food Red Flattened Rice Handmade,200 gm,৳ 28,Breakfast
BPM Homemade Puffed Rice,500 gm,৳ 82,Breakfast
Dan Cake Strawberry Swiss Roll,200 gm,৳ 130,Breakfast
Astor Stick Tin Chocolate Wafer,330 gm,৳ 455,Breakfast
Dhaka Dough Flattened Rice (Chira),200 gm,৳ 115,Breakfast
Red Flattened Rice,500 gm,৳ 60,Breakfast
Quaker Oats Poly,500 gm,৳ 265,Breakfast
Nestlé Corn Flakes Breakfast Cereal Box,275 gm,৳ 330,Breakfast
Quaker Oats Australia,1 kg,৳ 575,Breakfast
Nestlé Koko Krunch Chocolate Cereal Pouch,80 gm,৳ 85,Breakfast
Kellogg's Corn Flakes Original Breakfast Cereal,475 gm,৳ 385,Breakfast
Kellogg's Oats Breakfast Cereal (Container Free),450 gm,৳ 265,Breakfast
Quaker White Oats,500 gm,৳ 320,Breakfast
Quaker Oats Jar,500 gm,৳ 305,Breakfast
Kellogg's Crunchy Bites K-Pak Breakfast Cereal,26gm,৳ 20,Breakfast
Sajeeb Corn Flakes,200 gm,৳ 160,Breakfast
Nestlé MILO Breakfast Chocolate Cereal Box,330 gm,৳ 350,Breakfast
Kellogg's Chocos Chocolate Breakfast Cereal Variety Pack 5X26gm,,৳ 100,Breakfast
Kellogg's Chocos Webs Chocolate Breakfast Cereal,300 gm,৳ 350,Breakfast
Kellogg's Special K Original Breakfast Cereal,290gm,৳ 290,Breakfast
Kellogg's Granola Breakfast Cereal With Almonds & Cranberries,460 gm,৳ 690,Breakfast
Sajeeb Mr.Chocoz Combo Offer,200 gm,৳ 160,Breakfast
Kellogg's Muesli Breakfast Cereal Fruit Magic,500 gm,৳ 630,Breakfast
Martino Couscous,500 gm,৳ 350,Breakfast
Kellogg's Chocos Moons & Stars Chocolate Breakfast Cereal,375 gm,৳ 360,Breakfast
Vitalia Crunchy Muesli With Apple & Hazelnut,320 gm,৳ 315,Breakfast
Fit Food Crunchy Honey Granola,300 gm,৳ 350,Breakfast
Vitalia Crunchy Muesli With Banana & Chocolate,320 gm,৳ 315,Breakfast
Vitalia Chocolate Corn Flakes,500 gm,৳ 535,Breakfast
Shezan Corn Flakes Combo Offer,275 gm,৳ 300,Breakfast
Shezan Choko Crunch Combo Offer,330 gm,৳ 320,Breakfast
Kellogg's Chocos Chocolate Breakfast Cereal,250 gm,৳ 245,Breakfast
Kellogg's Coco Pops,400 gm,৳ 570,Breakfast
