Product,Quantity,Price
Shezan Mango Juice,250 ml,৳ 20
Latina 100 % Juice (Apple),1 ltr,৳ 200
Latina 100 % Juice (Orange),1 ltr,৳ 200
Pran Drinko Pineapple Juice,250 ml,৳ 25
Amul Pinacolada Mocktail Can,200 ml,৳ 125
Shezan Mango Fruit Drinks,1 ltr,৳ 70
Cyprina Grape Juice,1 ltr,৳ 350
Sajeeb Litchi Flavored Drink,170 ml,৳ 12
Cyprina Tropical Juice,1 ltr,৳ 350
Cyprina Mango Nectar,1 ltr,৳ 375
Cyprina Pineapple Juice,1 ltr,৳ 350
PRAN Frooto Mango Fruit Drink,1 ltr,৳ 70
Sajeeb Orange Flavour Drinks,170 ml,৳ 12
Stute Cranberry Juice,1.5 ltr,৳ 660
Cyprina Guava Juice,1 ltr,৳ 350
Fontana Orange Juice,1 ltr,৳ 365
Fontana Apple Juice,1 ltr,৳ 365
Cyprina Tomato Juice,1 ltr,৳ 350
Nutrilife Orange Juice,1 ltr,৳ 245
Nutrilife Guava Juice,1 ltr,৳ 245
Shezan Mango Fruit Drink,500 ml,৳ 40
Druk Mango Panna Sqaush,500 ml,৳ 250
Dolphin Nata De Coco Mango Drink,350 ml,৳ 125
Dolphin Nata De Coco Grape Drink,350 ml,৳ 125
Aloe Vera Zero Sugar Drink,500 ml,৳ 260
Aloe Vera Mango Drink,500 ml,৳ 289
Aloe Vera Pome Drink,500 ml,৳ 247
Real Fruit Power Litchi Juice,1 ltr,৳ 375
Ceres Pineapple juice,1 ltr,৳ 375
Ceres Guava  juice,1 ltr,৳ 375
Ceres Apple juice,1 ltr,৳ 375
Nutrilife Apple Juice,1 ltr,৳ 245
Sunquick Oren Orange Juice,840 ml,৳ 600
Aloe Vera Original Drink,500 ml,৳ 279
Lotte Sac Sac Grape Drink,240 ml,৳ 90
Cyprina Juice Drink Apple,1 ltr,৳ 350
Sammi Orange Juice Can,240 ml,৳ 99
Tipco Pomegranate & Mixed Fruit Juice,1 ltr,৳ 425
Tipco Si Thong Orange Juice,1 ltr,৳ 425
Tipco Red Grape Juice,1 ltr,৳ 425
Tipco Pineapple Juice,1 ltr,৳ 425
Tipco Medley Orange Juice,1 ltr,৳ 425
Tipco Guava Juice,1 ltr,৳ 425
Sammi Aloe Juice,238 ml,৳ 99
PRAN Frooto Mango Fruit Drink,250 ml,৳ 22
Fontana Pineapple Juice,1 ltr,৳ 365
Fontana Grape Juice,1 ltr,৳ 365
Sammi Red Grape Juice Can,240 ml,৳ 99
Sammi Mixed Fruit Juice Can,200 ml,৳ 99
Cyprina Fruit Drink Cranberry,1 ltr,৳ 375
