Product,Quantity,Price
Ispahani Mirzapore Best Leaf Tea,400 gm,৳ 210
Brooke Bond Taaza Black Tea (Jar Free) 400 gm*2,,৳ 398
Brooke Bond Taaza Black Tea,400 gm,৳ 199
Ispahani Mirzapore Tea Bag,50 pcs,৳ 90
Ispahani Mirzapore Best Leaf Tea,200 gm,৳ 110
Kazi & Kazi Green Tea 60 gm,40 pcs,৳ 160
Danish Simla Premium Blend Tea (Free Jar),400 gm,৳ 200
Brooke Bond Black Tea,200 gm,৳ 100
Finlays Pure Green Tea Bags 100 gm,50 pcs,৳ 100
Fresh Premium Tea (Free Jar),400 gm,৳ 200
Ispahani Blender's Choice Premium Green Tea,50 pcs,৳ 200
Lipton Green Tea Bag Honey and Lemon,25 pcs,৳ 140
Kazi & Kazi Ginger Tea 60 gm,40 pcs,৳ 150
Magnolia Garden Fresh Tea (1 pcs Spoon Free),500 gm,৳ 200
Nestea Iced Tea Lemon,500 gm,৳ 300
Red Label Black Tea,400 gm,৳ 270
Ispahani Blender's Choice Premium Tea 50 Bags ,,৳ 145
Tulsi Pati Lemon & Ginger Tea 45 gm,30 pcs,৳ 120
Kazi & Kazi Tulsi Tea,60 gm,৳ 150
Tata Tea Tetley Premium Leaf,200 gm,৳ 100
Hyson Chamomile Organic Infusion Tea,22.5 gm,৳ 200
Fresh Premium Green Tea,37.5 gm,৳ 110
Red Label Black Tea,200 gm,৳ 140
Lipton Green Tea Bag Pure & Light,25 pcs,৳ 120
Kazi & Kazi Orthodox Green Tea,100 gm,৳ 190
Ispahani Zareen Premium Tea,400 gm,৳ 250
Rigs 3 In 1 Premium Coffee Premix,1 kg,৳ 550
Tata Tea Gold,200 gm,৳ 125
Ispahani Blender's Choice Green Tea 37.5 gm,25 pcs,৳ 110
Lipton 3 In 1 Tarik Instant Milk Tea,12 pcs,৳ 448
Lipton Instant 3 In 1 Classic Milk Tea,12 pcs,৳ 448
Kazi & Kazi Green Lemongrass Tea,60 gm,৳ 170
Lipton 3 In 1 Halia Milk Instant Tea,12 pcs,৳ 448
Tetley Masala Chai Tea Bag,25 pcs,৳ 150
Jafflong Green Tea,125 gm,৳ 110
Kazi & Kazi Black Tea,80 gm,৳ 125
Rigs Herbs Pure Green Tea 45 gm,30 pcs,৳ 130
Lipton Green Tea Bag Pure & Light,50 pcs,৳ 230
Halda Valley Golden Eyebrow Black Tea (Free Autumn Flush Tea Spoon),85 gm,৳ 595
Ispahani Eker Bhetor Tin Offer,each,৳ 590
Jafflong Classic Tea,200 gm,৳ 106
Fresh Premium Masala Tea,50 gm,৳ 100
Ispahani Blender's Choice Black Tea,200 gm,৳ 160
Jafflong Classic Tea,400 gm,৳ 206
Halda Velly Golden Eyebrow Black Tea (Free Autumn Flush Tea Pot),170 gm,"৳ 1,190"
Halda Valley Golden Eyebrow Black Tea (Free Autumn Flush Tea Infuser),50 gm,৳ 365
Finlay Midoro Green Tea Jar,80 gm,৳ 500
Hyson Premium Green Tea,50 gm,৳ 160
Pusti Gold Tea,500 gm,৳ 210
Kazi & Kazi Green Mint Tea 37.5 gm,25 pcs,৳ 300
