Product,Quantity,Price
White Bread,500 gm,৳ 75
Golden Harvest Frozen Paratha Family Pack,20 pcs,৳ 250
PRAN Puffed Rice (Muri),500 gm,৳ 60
Cocola Chocolate Wafer Roll Jar,280 gm,৳ 60
Special Brown Bread,300 gm,৳ 105
PRAN Flattened Rice (chira),500 gm,৳ 60
PRAN Puffed Rice (Muri),250 gm,৳ 35
Golden Harvest Mega Deshi Paratha 1600 gm,20 pcs,৳ 300
Golden Harvest Aloo Paratha,250 gm,৳ 70
Agrobiz Puffed Rice (Hand Made Muri),200 gm,৳ 35
Anmol Puffed Rice,400 gm,৳ 45
Ispahani Bakery Fresh Dry Cake,350 gm,৳ 120
Flattened Rice,500 gm,৳ 55
Ruchi Puffed Rice (Muri),250 gm,৳ 32
Kellogg's Special K Original Breakfast Cereal,290gm,৳ 290
Dan Cake Swiss Roll Chocolate,200 gm,৳ 130
BPM White Flattened Rice,500 gm,৳ 58
Khaas Food Red Flattened Rice Handmade,200 gm,৳ 28
BPM Homemade Puffed Rice,500 gm,৳ 82
Dan Cake Strawberry Swiss Roll,200 gm,৳ 130
Astor Stick Tin Chocolate Wafer,330 gm,৳ 455
Dhaka Dough Flattened Rice (Chira),200 gm,৳ 115
Red Flattened Rice,500 gm,৳ 60
