Product,Quantity,Price
Quaker Oats Poly,500 gm,৳ 265
Nestlé Corn Flakes Breakfast Cereal Box,275 gm,৳ 330
Quaker Oats Australia,1 kg,৳ 575
Nestlé Koko Krunch Chocolate Cereal Pouch,80 gm,৳ 85
Kellogg's Corn Flakes Original Breakfast Cereal,475 gm,৳ 385
Kellogg's Oats Breakfast Cereal (Container Free),450 gm,৳ 265
Quaker White Oats,500 gm,৳ 320
Quaker Oats Jar,500 gm,৳ 305
Kellogg's Crunchy Bites K-Pak Breakfast Cereal,26gm,৳ 20
Sajeeb Corn Flakes,200 gm,৳ 160
Nestlé MILO Breakfast Chocolate Cereal Box,330 gm,৳ 350
Kellogg's Chocos Chocolate Breakfast Cereal Variety Pack 5X26gm,,৳ 100
Kellogg's Chocos Webs Chocolate Breakfast Cereal,300 gm,৳ 350
Kellogg's Special K Original Breakfast Cereal,290gm,৳ 290
Kellogg's Granola Breakfast Cereal With Almonds & Cranberries,460 gm,৳ 690
Sajeeb Mr.Chocoz Combo Offer,200 gm,৳ 160
Kellogg's Muesli Breakfast Cereal Fruit Magic,500 gm,৳ 630
Martino Couscous,500 gm,৳ 350
Kellogg's Chocos Moons & Stars Chocolate Breakfast Cereal,375 gm,৳ 360
Vitalia Crunchy Muesli With Apple & Hazelnut,320 gm,৳ 315
Fit Food Crunchy Honey Granola,300 gm,৳ 350
Vitalia Crunchy Muesli With Banana & Chocolate,320 gm,৳ 315
Vitalia Chocolate Corn Flakes,500 gm,৳ 535
Shezan Corn Flakes Combo Offer,275 gm,৳ 300
Shezan Choko Crunch Combo Offer,330 gm,৳ 320
Kellogg's Chocos Chocolate Breakfast Cereal,250 gm,৳ 245
Kellogg's Coco Pops,400 gm,৳ 570
Virginia White Oats,400 gm,৳ 285
Sajeeb Mr.Chocoz,200 gm,৳ 160
Foster Clark's Tiara White Oats Tin,500 gm,৳ 290
Premium Grade Rolled Oats,1 kg,৳ 910
Premium Grade Apricot Muesli,400 gm,৳ 680
Premium Grade Fig Muesli,400 gm,৳ 680
Premium Grade Cranberry Muesli,400 gm,৳ 680
IKO Premium Sugar Free Oatmeal Crackers Original,178 gm,৳ 345
Vitalia Fit & Active Muesli,650 gm,৳ 700
Nestlé Koko Krunch,500 gm,৳ 610
Kelloggs Coco Pops,510 gm,৳ 699
Vitalia Chocolate Muesli,1 kg,৳ 900
Vitalia Crunchy Muesli (Blackberry & Raspberry),320 gm,৳ 315
Shezan Corn Flakes,150 gm,৳ 180
Golden Country Quick Cooking White Oats Tin,500 gm,৳ 260
Vitalia Breakfast Muesli,1 kg,৳ 850
Vitalia Fruit Muesli,1 kg,৳ 950
Vitalia Crunchy Muesli With Orange & Chocolate,320 gm,৳ 315
Kellogg's Corn Flakes Breakfast Cereal with Almond & Honey,300 gm,৳ 350
