Product,Quantity,Price
Nutella Hazelnut Ferrero Cocoa Spread,350 gm,৳ 520
Farm Fresh Butter (50 gm*4),200 gm,৳ 184
Nocilla Two Colour Chocolate,200 gm,৳ 275
Herman Mayonnaise,236 gm,৳ 135
Hershey's Chocolate Syrup,680 gm,৳ 429
Amul Pasteurised Butter,200 gm,৳ 355
Ruchi Orange Jam,480 gm,৳ 130
Herman Peanut Butter Creamy,340 gm,৳ 325
Nocilla Two Flavor Cocoa Spread,190 gm,৳ 275
Herman Peanut Butter Crunchy,340 gm,৳ 325
Ahmed Orange Jelly,500 gm,৳ 130
Shezan Mixed Fruit Jam,440 gm,৳ 120
Ahmed Sugar Free Apple Jelly,375 gm,৳ 160
Foster Clark's Jelly Dessert Strawberry,85 gm,৳ 75
Barilla Pasta Sauce Jar Basilico,400 gm,৳ 320
Amul Choco Buttery Spread,200 gm,৳ 260
Barilla Pasta Sauce Jar Napoletana,400 gm,৳ 320
Amul Salted Butter,200 gm,৳ 350
Barilla Pasta Sauce Jar Arrabbiata,400 gm,৳ 320
Foster Clark's Cherry Jelly,85 gm,৳ 75
Foster Clark's Orange Jelly,85 gm,৳ 75
Tova Jam Mixed Fruit,435 gm,৳ 480
Alfa Mayonnaise,236 ml,৳ 125
Lurpak Butter Unsalted,200 gm,৳ 375
Ahmed Sugar Free Orange Jelly,375 gm,৳ 160
Amul Salted butter,500 gm,৳ 700
Nutella Hazelnut Cocoa Spread,750 gm,"৳ 1,079"
Ahmed Sugar Free Guava Jelly,375 gm,৳ 160
Hershey's Caramel Syrup,623 gm,৳ 409
Ahmed Orange Squashe,500 gm,৳ 90
Sundrop Chocolatey Cocoa Nut Almond,350 gm,৳ 450
Ahmed Pineapple Jam,500 gm,৳ 130
Ahmed Guava Jelly,500 gm,৳ 130
Best Orange Marmalade Jam Conserve,450 gm,৳ 425
Khusboo Premium Lichy Jelly,500 gm,৳ 155
Khusboo Premium Orange Jelly,500 gm,৳ 125
Cavendish & Harvey Mixed Fruit Drops,200 gm,৳ 320
Cavendish & Harvey Clear Mint Drops,200 gm,৳ 320
Cavendish & Harvey Sour Lemon Drops,200 gm,৳ 320
Ahmed Mango Jam,500 gm,৳ 130
Saporito Tahini Spread,300 gm,৳ 550
ST-Dalfor Jam Strawberry,284 gm,৳ 550
ST-Dalfor Jam Four Fruits,284 gm,৳ 550
Sunsweet Amazin Prunes Pitted,200 gm,৳ 495
Sundrop Peanut Butter jelly (Grape),340 gm,৳ 360
Kazi Farms Kitchen Strawberry Jam,340 gm,৳ 230
Kazi Farms Kitchen Orange Jelly,340 gm,৳ 130
Stute Apricot Conserve Extra Jam,340 gm,৳ 335
Sundrop Peanut Butter Honey Roast Creamy,462 gm,৳ 390
Ahmed Mixed Fruit Jam,500 gm,৳ 130
