Product,Quantity,Price
Radhuni Biryani Masala,40 gm,৳ 55
Radhuni Chicken Masala,20 gm,৳ 15
Radhuni Chatpoti Masala,50 gm,৳ 40
Radhuni Firni Mix,150 gm,৳ 40
Radhuni Haleem Mix,200 gm,৳ 45
Lazzat Tandoori Chicken BBQ Masala,50 gm,৳ 82
Radhuni Chicken Tandoori Masala,50 gm,৳ 75
Radhuni Tehari Masala,40 gm,৳ 45
Knorr Krispy Fried Chicken Mix,75 gm,৳ 70
Golden Harvest Frozen Tehari,350 gm,৳ 150
Sajeeb Ready Mix Pancake,500 gm,৳ 125
Shan Tandoori Masala,50 gm,৳ 95
Radhuni Borhani Masala,50 gm,৳ 35
Shan Chaat Masala,100 gm,৳ 110
Radhuni Kabab Masala,50 gm,৳ 90
Uncle Barns Mix Flour Pancake,500 gm,৳ 295
Ahmed Chatpoti Masala,50 gm,৳ 40
Ahmed Fish Masala,100 gm,৳ 55
Radhuni Kala Bhuna Masala,80 gm,৳ 70
PRAN Kacchi Biryani Masala Mix,50 gm,৳ 60
Shan Karachi Beef Biriyani,60 gm,৳ 95
Radhuni Falooda Mix (Vanilla),250 gm,৳ 65
Fresh Hyderabadi Halim Mix,180 gm,৳ 50
Radhuni Falooda Mix (Mango),250 gm,৳ 65
PRAN Tehari Masala,45 gm,৳ 40
Radhuni Jorda Mix,400 gm,৳ 110
Shan Bombay Biriyani,60 gm,৳ 95
Radhuni Kachchi Biryani Masala,40 gm,৳ 60
Anchor Custard Powder Vanilla,200 gm,৳ 60
Radhuni Fish Curry Masala,100 gm,৳ 55
Ahmed Meat Masala,100 gm,৳ 65
Fresh Halim Mix,200 gm,৳ 45
Radhuni Hyderabadi Biryani Masala,45 gm,৳ 80
PRAN Fish Masala,100 gm,৳ 55
ACI Pure Shahi Biryani Masala,40 gm,৳ 55
PRAN Borhani Masala,50 gm,৳ 40
PRAN Haleem Mix,200 gm,৳ 45
Shan Biryani Masala Mix,50 gm,৳ 95
PRAN Spice Mix Chatpati Masala,50 gm,৳ 40
Shan Shami Kabab,50 gm,৳ 95
Shan Seekh Kabab Masala Mix,50 gm,৳ 95
Shan Chicken Masala,50 gm,৳ 95
Shan Meat Masala,100 gm,৳ 110
Shan Malay Spice Mix for Memoni Mutton Biriyani,60 gm,৳ 95
Shan Sindhi Biryany Mix,60 gm,৳ 95
Shan Shami Kabab Mix,50 gm,৳ 95
Shan Paya Curry Mix,50 gm,৳ 95
Shan Korma Curry Mix,50 gm,৳ 95
Shan Fried Fish Masala Mix,50 gm,৳ 95
Sajeeb Ready Mix Bhuna Khichuri,500 gm,৳ 104
