Product,Quantity,Price
Milk Vita Liquid Milk,1 ltr,৳ 70
Aarong Dairy Full Cream Liquid Milk,1 ltr,৳ 70
Aarong Dairy UHT Chocolate Milk,200 ml,৳ 25
PRAN UHT Milk,1 ltr,৳ 90
Aarong Dairy UHT Full Cream Liquid Milk,500 ml,৳ 45
PRAN UHT Milk,200 ml,৳ 22
Aarong Dairy Low Fat Liquid Milk,500 ml,৳ 38
Aarong Dairy UHT Strawberry Milk,200 ml,৳ 25
Danish Ayran Pasteurized Full Cream Liquid Milk,1 ltr,৳ 125
PRAN UHT Milk,500 ml,৳ 45
PRAN Flavored Chocolate Milk (Pouch),200 ml,৳ 20
PRAN Pasteurized Liquid Milk,1 ltr,৳ 70
Amul Kool Badam Pet Bottle,200ml,৳ 85
Cowhead Pure UHT Milk,1 ltr,৳ 290
Danish Ayran Pasteurized Full Cream Liquid Milk,2 ltr,৳ 225
Milkman Slim Low Fat UHT Milk,1 ltr,৳ 120
Aarong Dairy Full Cream Milk Powder,500 gm,৳ 315
PRAN Flavored Mango Milk (Pouch),200 ml,৳ 20
Farm Fresh Uht Milk,500 ml,৳ 45
Cowhead UHT Milk Low Fat,1 ltr,৳ 298
Amul Gold Extra Cream UHT Milk,1 ltr,৳ 225
Harvey Fresh  UHT Low Fat Milk,1 ltr,৳ 299
Harvey Fresh  UHT Skim Milk,1 ltr,৳ 299
Harvey Fresh Lactose Free Full Cream Milk,1 ltr,৳ 350
Harvey Fresh Lactose Free UHT Skim Milk,1 ltr,৳ 350
Harvey Fresh  UHT Full Cream Milk,1 ltr,৳ 280
