Product,Quantity,Price
Aarong Dairy Sour Yogurt,500 ml,৳ 80
Danish Ayran Sour Yogurt,500 ml,৳ 80
Aarong Dairy Low Fat Yogurt (Sour),500 gm,৳ 80
PRAN Sweet Yogurt,100 gm,৳ 20
Milk Vita Sour Curd,500 ml,৳ 80
Aarong Dairy Sweetened Yogurt,500 ml,৳ 100
Shokti Plus Sweet Yogurt Plain Combo Pack,4 pcs,৳ 196
PRAN Sour Curd,500 ml,৳ 80
Gowala Sweet Curd,650 gm,৳ 310
Shokti Plus Sweet Yogurt Strawberry Combo Pack,4 pcs,৳ 196
Aarong Dairy Golapjam (20±2 pcs),1 kg,৳ 320
Aarong Dairy Kalojam (20±2 pcs),1 kg,৳ 320
Shokti Plus Sweet Yogurt Mango Combo Pack,4 pcs,৳ 196
Ultimate Zero Sugar Sweetened Yogurt Plain,140 gm,৳ 95
PRAN Matha,250 ml,৳ 25
Shokti Plus Mishti Doi,120 gm,৳ 59
Aarong Dairy Roshogolla (20±2 pcs),1 kg,৳ 320
Gowala Kheersha,650 gm,৳ 550
