Product,Quantity,Price
Bombay Sweets Mr. Twist,22 gm,৳ 15
Bombay Sweets Potato Crackers,22 gm,৳ 10
Bombay Sweets Ring Chips,22 gm,৳ 10
Bombay Sweets Cheese Ball Cheezee Corn Snacks,20 gm,৳ 10
Sun Chips Salt & Pepper,22 gm,৳ 15
Kurkure American Style Cream & Onion Chips,45 gm,৳ 25
Lay's Italian Shape Pastazz Chips,18 gm,৳ 10
Bombay Sweets Nachoz Chutney & Lime,30 gm,৳ 15
Lay's Italian Shape Pastazz Chips,37 gm,৳ 20
Sun Chips Prawn Crackers,20 gm,৳ 15
Cheese Puff,each,৳ 10
Alooz Waves B-B-Q Potato Chips,22 gm,৳ 15
Sun Chips Garlic & Chilli,22 gm,৳ 15
Ifad Eggy Stix Bar-B-Q Chips,25 gm,৳ 10
Sun Chips Mix Masala,22 gm,৳ 15
Bombay Sweets Alooz Magic Masala,22 gm,৳ 15
Lay's American Style Cream & Onion,52 gm,৳ 50
Sun Chips Tomato Tango,22 gm,৳ 15
Bombay Sweets Alooz Spanish Tomato Flavor,22 gm,৳ 15
Kurkure Chili Chatka Chips,45 gm,৳ 25
Alooz Waves Hot  Flavour Potato Chips,22 gm,৳ 15
Lay's Mexican Shape 3D Chips,18 gm,৳ 10
Sun Chips Wasabi,38 gm,৳ 25
Kurkure Masala Manch Chips,45 gm,৳ 25
Krispy Chips Combo,3 pcs,৳ 30
Sun Chips Mix Masala,38 gm,৳ 25
Pringles Sour Cream & Onion Potato Chips,147 gm,৳ 225
Poppers Corn Coconut Puffs Chips,25 gm,৳ 15
Ifad Eggy Pillow Bar-B-Q Chips,22 gm,৳ 10
Lay's Spanish Tomato Tango Chips,52 gm,৳ 50
Ruchi BBQ Potato Crackers,25 gm,৳ 10
King French Fry,15 gm,৳ 10
Lay's Mexican Shape 3D Chips,37 gm,৳ 20
Kellogg's Chocos Fills Chocolate Breakfast Cereal,17gm,৳ 20
Pringles Original Potato Chips,147 gm,৳ 225
Bombay Sweets Alooz Chili Chatka,22 gm,৳ 15
Cocola Koko Krunch Chips,22 gm,৳ 10
Sun Chips Tomato Tango,80 gm,৳ 50
Kurkure Spanish Tomato Tango Chips,45 gm,৳ 25
Pringles Cheesy Cheese Potato Chips,42 gm,৳ 100
Sun Chips Tomato Tango,38 gm,৳ 25
Sun Chips Mix Masala,80 gm,৳ 50
Pringles Original Potato Chips,42 gm,৳ 100
Spicy Potato Stick,15 gm,৳ 10
Kurkure Masala Manch Chips,90 gm,৳ 50
Pringles BBQ Potato Chips,158 gm,৳ 260
King Crispy Angle,15 gm,৳ 10
Pringles Potato Chips Sour Cream & Onion,158 gm,৳ 260
Mister Potato Sour Cream & Onion Crisps,100 gm,৳ 160
Kellogg's Crunchy Bites K-Pak Breakfast Cereal,26gm,৳ 20
