Product,Quantity,Price
PRAN Puffed Rice (Muri),500 gm,৳ 60
Bombay Sweets Jhal Muri,30 gm,৳ 10
Bombay Sweets Chanachur,600 gm,৳ 100
Bombay Sweets Chanachur,150 gm,৳ 30
PRAN Flattened Rice (chira),500 gm,৳ 60
Ahmed Daroon Badam Fry,30 gm,৳ 10
Ruchi Jhal Chanachur,350 gm,৳ 65
Bombay Sweets Chanachur,300 gm,৳ 60
PRAN Puffed Rice (Muri),250 gm,৳ 35
Ruchi Bbq Chanachur,350 gm,৳ 65
Golden Harvest Frozen Dal Puri 454 gm,10 pcs,৳ 100
Nababi Sweetened Bakorkhani,400 gm,৳ 140
Cocola Strawberry Wafer Roll Jar,280 gm,৳ 60
Nababi Cheesy Bakorkhani,400 gm,৳ 175
Ruchi Bbq Chanachur,150 gm,৳ 35
Ruchi Premium Mix Chanachur,100 gm,৳ 50
Agrobiz Puffed Rice (Hand Made Muri),200 gm,৳ 35
Pelletoss Gol Gappa Ready To Fry Fuchka,500 gm,৳ 150
Dekko Honey & Kalo Zeera Biscuit,65 gm,৳ 15
Bombay Sweets Dalmoth,300 gm,৳ 75
Anmol Puffed Rice,400 gm,৳ 45
Bombay Sweets Dalmoth Namkeen,150 gm,৳ 40
PRAN Fried Peas (Motor Bhaja) 25 gm,4 pcs,৳ 20
Krispy Dal Vaja 18 gm,5 pcs,৳ 25
Golden Harvest Bombay Mix Chanachur,350 gm,৳ 65
PRAN Jhal Muri 35 gm,4 pcs,৳ 32
Ruchi Jhal Chanachur,150 gm,৳ 35
Bombay Sweets BBQ Chanachur,300 gm,৳ 65
Bombay Sweets Chanachur Tandoori,150 gm,৳ 40
PRAN Mango Bar,10 pcs,৳ 70
Bombay Sweets Chanachur Bombay Mix,150 gm,৳ 35
Golden Harvest Bar-B-Q Mix Chanachur,350 gm,৳ 65
Bombay Sweets Chanachur Jhal,300 gm,৳ 65
Bombay Sweets Chanachur Bombay Mix,300 gm,৳ 65
Bombay Sweets Chanachur Jhal,150 gm,৳ 35
Home Made Jhuri Vaza,350 gm,৳ 90
Ruchi Puffed Rice (Muri),250 gm,৳ 32
BPM Red Flattened Rice,500 gm,৳ 63
PRAN Dry Cake Biscuit,350 gm,৳ 120
BPM White Flattened Rice,500 gm,৳ 58
BD Bar-B-Q Chanachur,300 gm,৳ 65
Dhakaiya Munchies Bakorkhani Sweet,500 gm,৳ 265
Khaas Food Red Flattened Rice Handmade,200 gm,৳ 28
BPM Homemade Puffed Rice,500 gm,৳ 82
Bashundhara Instant Noodles Masala,496 gm,৳ 135
Haldiram Chocolate Soan Papdi,200 gm,৳ 245
Dan Cake Strawberry Swiss Roll,200 gm,৳ 130
PRAN Mango Bar,30 pcs,৳ 210
Ahmed Daroon Chanachur,150 gm,৳ 30
Haldiram Kesar Soan Papdi,200 gm,৳ 245
