Product,Quantity,Price
Cocola Egg Noodles,180 gm,৳ 18
Nestlé MAGGI 2-Minute Noodles Masala 8 Pack,496 gm,৳ 135
Nestlé MAGGI Masala Blast Noodles 8 Packs,504 gm,৳ 140
Cocola Chicken Masala Noodles,180 gm,৳ 20
Cocola Hot & Spicy Cup Noodles,40 gm,৳ 25
Mama Instant Noodles Hot & Spicy Flavour,496 gm,৳ 130
Leung Hung Chinese Egg Dragon Noodles,300 gm,৳ 35
Mr.Noodles Chicken Cup Noodles,40 gm,৳ 30
Danish 2Fun Instant Noodles Masala (Color Pencil Set Free),8 pack,৳ 135
Cocola Junior Cup Noodles,40 gm,৳ 25
Cocola Egg & Chicken Masala Noodles,180 gm,৳ 20
Doodles Stick Noodles,180 gm,৳ 18
Mama Noodles Chicken Flavour 8 pcs,496 gm,৳ 130
Nestlé MAGGI 2-Minute Noodles Masala 4 Pack,248 gm,৳ 66
Cocola Beef Bhuna Bowl Noodles,65 gm,৳ 40
Nestlé MAGGI Masala Blast Noodles 4 Packs,252 gm,৳ 70
Doodles Masala Noodles,8 pcs,৳ 135
Danish 2Fun Instant Noodles Chicken (Color Pencil Set Free),8 pack,৳ 135
Mama Instant Noodles Hot & Spicy Flavor,248 gm,৳ 66
Mama Hot & Spicy Cup Noodles,62 gm,৳ 60
Sajeeb Tandoori Chicken Noodles,180 gm,৳ 20
Ifad Eggy Instant Masala Noodles (Buy 2 Get 1 Free),480 gm,৳ 260
Dekko Egg Noodles,280 gm,৳ 30
Cocola Cook Masala Noodles,400 gm,৳ 65
Mama Shrimp Noodles 8 pcs,496 gm,৳ 130
Chopstick Yummy Masala Instant Noodles,496 gm,৳ 135
Sajeeb Noodles Thai Flavor,180 gm,৳ 20
Kolson Bar-B-Q Noodles,180 gm,৳ 20
Mama Noodles Shrimp Flavour 4 pcs,248 gm,৳ 66
Sajeeb Egg Noodles,180 gm,৳ 18
Dragon Brand Noodles,300 gm,৳ 40
Bashundhara Stick Noodles Masala,180 gm,৳ 20
Mama Noodles Chicken Flavour 4 pcs,248 gm,৳ 66
Chopstick Noodles Deshi Masala,744 gm,৳ 200
Mama Oriental Style Instant Noodles Chicken Masala Flavour,60 gm,৳ 40
Mama Instant Noodles Oriental Kitchen Hot Korean Flavour,85 gm,৳ 85
Mama Oriental Style Instant Noodles Chicken Flavour,60 gm,৳ 40
Mama Instant Noodles Oriental Kitchen Shrimp STIR Fried Tom Yum Sauce Flavour,85 gm,৳ 85
Bashundhara Instant Noodles Masala,496 gm,৳ 135
Kolson Egg Noodles,180 gm,৳ 18
Ifad Eggy Instant Masala Noodles,480 gm,৳ 130
Samyang Hot Chicken Stew Noodles,625 gm,৳ 799
Mamee Express Tom Yam Flavour Cup Noodles,60 gm,৳ 120
Cocola Chicken Masala Noodles Big Bazar,715 gm,৳ 100
Samyang Hot Chicken Cheese Noodles,700 gm,৳ 799
Foodie Spicy Chicken Noodles 8 Pack,520 gm,৳ 130
Nissin Instant Veggi Manchow Cup Noodles,70 gm,৳ 95
Fresh Instant Noodles 4 pcs,248 gm,৳ 66
Samyang Hot Chicken Curry Noodles,600 gm,৳ 799
Fresh Instant Noodles 8 pcs,495 gm,৳ 135
