Product,Quantity,Price
Kolson Macaroni Shell,400 gm,৳ 65
Bashundhara Tube Pasta,500 gm,৳ 80
Pasta Hat Macaroni (Rigate),500 gm,৳ 130
Kolson Macaroni Bamboo,400 gm,৳ 65
Pasta Hat Spaghetti,500 gm,৳ 130
Dekko Oyster Pasta (Buy 2 Get 1 Offer),200 gm,৳ 70
Mr. Pasta Chili Chicken,248 gm,৳ 80
Pasta Hat Macaroni (Screw),500 gm,৳ 130
Bashundhara Sea Shell Pasta,500 gm,৳ 80
Kolson Macaroni Assorted Pack,500 gm,৳ 100
Bashundhara Bamboo Macaroni,400 gm,৳ 65
Pasta Hat Macaroni (Big Elbow),500 gm,৳ 130
Barilla Durum Wheat Pasta Spaghetti,500gm,৳ 280
Bashundhara Screw Macaroni,400 gm,৳ 65
Mr. Pasta Tangy Tomato,248 gm,৳ 80
Reggia Pasta Lasagne Sheet,500 gm,৳ 350
Santa Sophia La Pasta Burgu (Rotini),500 gm,৳ 149
Barilla Durum Wheat Pasta Penne,500 gm,৳ 280
Dekko Oyster Pasta,200 gm,৳ 35
Barilla Durum Wheat Pasta Linguine,500gm,৳ 280
Barilla Durum Wheat Pasta Fusilli,500 gm,৳ 280
Barilla Durum Wheat Pasta Angel Hair,500gm,৳ 280
Barilla Farfalle  Pasta (N.65),500 gm,৳ 299
Bashundhara Big Oyster Macaroni,400 gm,৳ 65
Saporito Penne Rigate (Italy),500 gm,৳ 175
Santa Sophia Durum Wheat (Penne Rigate),500 gm,৳ 149
Santa Sophia Durum Wheat (Big Shells),500 gm,৳ 149
