Product,Quantity,Price
Peanut Raw (Kacha Cheena Badam),100 gm,৳ 30
Walnuts (Akhrot),100 gm,৳ 139
Tong Garden Salted Cashew Nuts,40 gm,৳ 125
Tong Garden Party Snack,25 gm,৳ 30
Fit Food Honey Roasted Almond,135 gm,৳ 230
Nut Candy Salted Cashew Nuts,140 gm,৳ 370
Tong Garden Wasabi Coated Green Peas,180 gm,৳ 275
Noi Salted Peanuts,110 gm,৳ 150
Nutrivita Cashew Nuts,150 gm,৳ 390
Fit Food Roasted Cashews,100 gm,৳ 260
Tong Garden Salted Peanuts,20 gm,৳ 30
Noi Party Snack,128 gm,৳ 145
Noi Salted Cocktail Nuts,128 gm,৳ 350
Noi Salted Green Peas,128 gm,৳ 140
Noi Cuttlefish Coated Green Peas,128 gm,৳ 150
Nut Candy Salted Pistachios,140 gm,৳ 400
Fit Food Spiced Mixed Nuts,100 gm,৳ 260
Tong Garden Salted Almonds,35 gm,৳ 125
Tong Garden Japanese Rice Cracker Mixed Coated Peanuts,160 gm,৳ 275
Tong Garden Seaweed & Wasabi Cashew Nuts,150 gm,৳ 495
Crunchos Pistachio Nut Tin,350 gm,"৳ 1,100"
Nuttos Organic Mixed Nuts,400 gm,৳ 799
Tong Garden Salted Pistachios,130 gm,৳ 495
Tong Garden Salted Almonds,140 gm,৳ 495
Tong Garden Salted Cocktail Nuts,160 gm,৳ 550
