Product,Quantity,Price
Cock Vermicelli (Shemai),200 gm,৳ 35
Ifad Suji,500 gm,৳ 30
Kolson Laccha Shemai,200 gm,৳ 35
ACI Pure Suji,500 gm,৳ 30
Teer Semolina Suji,500 gm,৳ 30
Banoful Laccha Shemai,200 gm,৳ 35
Radhuni Shemai,200 gm,৳ 35
Fresh Suji,500 gm,৳ 30
Khaas Food Premium Laccha Semai,200 gm,৳ 70
Shaad Suji,500 gm,৳ 30
Bashundhara Suji,500 gm,৳ 30
Dekko Vermicelli Semai,200 gm,৳ 30
Pran Vermicelli Shemai,200 gm,৳ 35
Sajeeb Lascha Semai,200 gm,৳ 35
Minar Lachcha Semai,200 gm,৳ 35
Arku Laccha Shemai,200 gm,৳ 35
Julie Instant Suji Halwa Mix,250 gm,৳ 85
Dekko Lascha Semai,200 gm,৳ 35
Arku Vermicelli,200 gm,৳ 35
Pastiano Vermicelli Economy,475 gm,৳ 160
Thai Choice Rice Noodles,200 gm,৳ 275
BD Vermicelli,200 gm,৳ 35
