Product,Quantity,Price
Snickers Chocolate,18 gm,৳ 20
Snickers Chocolate,50 gm,৳ 55
Cadbury Dairy Milk Chocolate,25.3 gm,৳ 40
Fresh Chocolate Bar,15.5 gm,৳ 10
Cadbury Dairy Milk Silk Plain Chocolate,60 gm,৳ 130
Tic Tac Orange,7.7gm,৳ 25
Cocola Chocolate Wafer Rolls,50 gm,৳ 15
Snickers Miniatures Chocolate,150 gm,৳ 250
Tic Tac Mint,7.7gm,৳ 25
Tic Tac Apple,7.7 gm,৳ 25
Fresh Crispee Chocolate Wafer (Buy 1 Get 1 Free),30 gm,৳ 20
Alpenliebe Juzt Jelly Snack Pack,10 pcs,৳ 20
M&M Chocolate,45 gm,৳ 80
Cadbury Dairy Milk Crackle Chocolate Bar,36 gm,৳ 90
Snickers Family Pack Chocolate,180 gm,৳ 225
Cadbury Dairy Milk Silk Oreo,60 gm,৳ 150
Nestle KitKat 3 Finger Chocolate Wafer,27.5 gm,৳ 45
M&M Peanut Chocolate,45 gm,৳ 80
Nestle Kit Kat 4 Finger Chocolate Wafer,37.3 gm,৳ 60
Chupa Chups Tube Stande Pouch,9 pcs,৳ 50
Bounty 2x Chocolate,57 gm,৳ 60
Munchy's Oat Krunch Dark Chocolate,208 gm,৳ 325
CBL Munchee Chocolate Wafer,100 gm,৳ 60
Chupa Chups Tubes Mini Box,10 pcs,৳ 100
Golden Garden Jelly Bean,190 gm,৳ 220
Mentos Rainbow Candy Roll,21.6 gm,৳ 15
Alpenliebe Original Caramel Candy Pouch,90 pcs,৳ 90
Snickers Power Pack,250 gm,৳ 282
Olympic Tetul Candy,125 gm,৳ 50
Haribo Goldbears Candy,80 gm,৳ 165
Fresh Crispee Wafer Chocolate Flavor,35 gm,৳ 10
Cadbury Nutties,30 gm,৳ 100
Center Fruit Ting Tong Home Pack Combo Offer,,৳ 100
Amul Dark Milk Bar,150 gm,৳ 290
Mentos Assorted Pouch & Chupa Chups Combo Offer (Mug Free),each,৳ 400
Center Fruit Ting Tong Home Pack,25 pcs,৳ 50
Pran MR Mango Candy Pouch,50 pcs,৳ 50
Fox's Berries Candy Tin,180 gm,৳ 227
Mentos Pure Fresh Chewing Sugarfree Gum (Green Tea Fresh Mint),29.7 gm,৳ 110
Tiffany Crunch 'n' Cream Chocolate Wafers,76 gm,৳ 110
Olympic Knock Chocolate Coated Wafer,25 gm,৳ 15
Tiffany Crunch 'N' Cream Hazelnut Wafers,76 gm,৳ 100
Lotte Colour Gum,5 pcs,৳ 15
Haribo Happy Cola Candy,80 gm,৳ 165
Haribo Worms Candy,80 gm,৳ 165
Nestle KitKat 4 Finger Chocolate Covered Wafer Bar,41.5 gm,৳ 80
Cavendish Candy Sour Lemon Poly,100 gm,৳ 156
Sajeeb Mango Bar,10 pcs,৳ 70
Sweet Treats Candy Box,,৳ 100
CBL Munchee Chunky Chok,90 gm,৳ 60
